bird+Aug+Dim+F+N+Pl+Acc	birdegetinojn
elefant+F+Dim+Aug+N+Pl+Nom	elefantinetegoj
elefant+F+Dim+Aug+N+Sg+Acc	elefantinetegon
elefant+F+Dim+Aug+N+Sg+Nom	elefantinetego
elefant+F+Dim+N+Pl+Acc	elefantinetojn
elefant+F+Dim+N+Pl+Nom	elefantinetoj
elefant+F+Dim+N+Sg+Acc	elefantineton
elefant+F+Dim+N+Sg+Nom	elefantineto
elefant+F+N+Pl+Acc	elefantinojn
elefant+F+N+Pl+Nom	elefantinoj
elefant+F+N+Sg+Acc	elefantinon
elefant+F+N+Sg+Nom	elefantino
elefant+N+Pl+Acc	elefantojn
elefant+N+Pl+Nom	elefantoj
elefant+N+Sg+Acc	elefanton
elefant+N+Sg+Nom	elefanto
hund+Aug+Dim+F+N+Pl+Acc	hundegetinojn
hund+Aug+Dim+F+N+Pl+Nom	hundegetinoj
hund+Aug+Dim+F+N+Sg+Acc	hundegetinon
hund+Aug+Dim+F+N+Sg+Nom	hundegetino
hund+Aug+Dim+N+Pl+Acc	hundegetojn
hund+Aug+Dim+N+Pl+Nom	hundegetoj
hund+Aug+Dim+N+Sg+Acc	hundegeton
hund+Aug+Dim+N+Sg+Nom	hundegeto
hund+Aug+F+Dim+N+Pl+Acc	hundeginetojn
hund+Aug+F+Dim+N+Pl+Nom	hundeginetoj
hund+Aug+F+Dim+N+Sg+Acc	hundegineton
hund+Aug+F+Dim+N+Sg+Nom	hundegineto
hund+Aug+F+N+Pl+Acc	hundeginojn
hund+Aug+F+N+Pl+Nom	hundeginoj
hund+Aug+F+N+Sg+Acc	hundeginon
hund+Aug+F+N+Sg+Nom	hundegino
hund+Aug+N+Pl+Acc	hundegojn
hund+Aug+N+Pl+Nom	hundegoj
hund+Aug+N+Sg+Acc	hundegon
hund+Aug+N+Sg+Nom	hundego
hund+Dim+Aug+F+N+Pl+Acc	hundeteginojn
hund+Dim+Aug+F+N+Pl+Nom	hundeteginoj
hund+Dim+Aug+F+N+Sg+Acc	hundeteginon
hund+Dim+Aug+F+N+Sg+Nom	hundetegino
hund+Dim+Aug+N+Pl+Acc	hundetegojn
hund+Dim+Aug+N+Pl+Nom	hundetegoj
hund+Dim+Aug+N+Sg+Acc	hundetegon
hund+Dim+Aug+N+Sg+Nom	hundetego
hund+Dim+F+Aug+N+Pl+Acc	hundetinegojn
hund+Dim+F+Aug+N+Pl+Nom	hundetinegoj
hund+Dim+F+Aug+N+Sg+Acc	hundetinegon
hund+Dim+F+Aug+N+Sg+Nom	hundetinego
hund+Dim+F+N+Pl+Acc	hundetinojn
hund+Dim+F+N+Pl+Nom	hundetinoj
hund+Dim+F+N+Sg+Acc	hundetinon
hund+Dim+F+N+Sg+Nom	hundetino
hund+Dim+N+Pl+Acc	hundetojn
hund+Dim+N+Pl+Nom	hundetoj
hund+Dim+N+Sg+Acc	hundeton
hund+Dim+N+Sg+Nom	hundeto
hund+F+Aug+Dim+N+Pl+Acc	hundinegetojn
hund+F+Aug+Dim+N+Pl+Nom	hundinegetoj
hund+F+Aug+Dim+N+Sg+Acc	hundinegeton
hund+F+Aug+Dim+N+Sg+Nom	hundinegeto
hund+F+Aug+N+Pl+Acc	hundinegojn
hund+F+Aug+N+Pl+Nom	hundinegoj
hund+F+Aug+N+Sg+Acc	hundinegon
hund+F+Aug+N+Sg+Nom	hundinego
hund+F+Dim+Aug+N+Pl+Acc	hundinetegojn
hund+F+Dim+Aug+N+Pl+Nom	hundinetegoj
hund+F+Dim+Aug+N+Sg+Acc	hundinetegon
hund+F+Dim+Aug+N+Sg+Nom	hundinetego
hund+F+Dim+N+Pl+Acc	hundinetojn
hund+F+Dim+N+Pl+Nom	hundinetoj
hund+F+Dim+N+Sg+Acc	hundineton
hund+F+Dim+N+Sg+Nom	hundineto
hund+F+N+Pl+Acc	hundinojn
hund+F+N+Pl+Nom	hundinoj
hund+F+N+Sg+Acc	hundinon
hund+F+N+Sg+Nom	hundino
hund+N+Pl+Acc	hundojn
hund+N+Pl+Nom	hundoj
hund+N+Sg+Acc	hundon
hund+N+Sg+Nom	hundo
kat+Aug+Dim+F+N+Pl+Acc	kategetinojn
kat+Aug+Dim+F+N+Pl+Nom	kategetinoj
kat+Aug+Dim+F+N+Sg+Acc	kategetinon
kat+Aug+Dim+F+N+Sg+Nom	kategetino
kat+Aug+Dim+N+Pl+Acc	kategetojn
kat+Aug+Dim+N+Pl+Nom	kategetoj
kat+Aug+Dim+N+Sg+Acc	kategeton
kat+Aug+Dim+N+Sg+Nom	kategeto
kat+Aug+F+Dim+N+Pl+Acc	kateginetojn
kat+Aug+F+Dim+N+Pl+Nom	kateginetoj
kat+Aug+F+Dim+N+Sg+Acc	kategineton
kat+Aug+F+Dim+N+Sg+Nom	kategineto
kat+Aug+F+N+Pl+Acc	kateginojn
kat+Aug+F+N+Pl+Nom	kateginoj
kat+Aug+F+N+Sg+Acc	kateginon
kat+Aug+F+N+Sg+Nom	kategino
kat+Aug+N+Pl+Acc	kategojn
kat+Aug+N+Pl+Nom	kategoj
kat+Aug+N+Sg+Acc	kategon
kat+Aug+N+Sg+Nom	katego
kat+Dim+Aug+F+N+Pl+Acc	kateteginojn
kat+Dim+Aug+F+N+Pl+Nom	kateteginoj
kat+Dim+Aug+F+N+Sg+Acc	kateteginon
kat+Dim+Aug+F+N+Sg+Nom	katetegino
kat+Dim+Aug+N+Pl+Acc	katetegojn
kat+Dim+Aug+N+Pl+Nom	katetegoj
kat+Dim+Aug+N+Sg+Acc	katetegon
kat+Dim+Aug+N+Sg+Nom	katetego
kat+Dim+F+Aug+N+Pl+Acc	katetinegojn
kat+Dim+F+Aug+N+Pl+Nom	katetinegoj
kat+Dim+F+Aug+N+Sg+Acc	katetinegon
kat+Dim+F+Aug+N+Sg+Nom	katetinego
kat+Dim+F+N+Pl+Acc	katetinojn
kat+Dim+F+N+Pl+Nom	katetinoj
kat+Dim+F+N+Sg+Acc	katetinon
kat+Dim+F+N+Sg+Nom	katetino
kat+Dim+N+Pl+Acc	katetojn
kat+Dim+N+Pl+Nom	katetoj
kat+Dim+N+Sg+Acc	kateton
kat+Dim+N+Sg+Nom	kateto
kat+F+Aug+Dim+N+Pl+Acc	katinegetojn
kat+F+Aug+Dim+N+Pl+Nom	katinegetoj
kat+F+Aug+Dim+N+Sg+Acc	katinegeton
kat+F+Aug+Dim+N+Sg+Nom	katinegeto
kat+F+Aug+N+Pl+Acc	katinegojn
kat+F+Aug+N+Pl+Nom	katinegoj
kat+F+Aug+N+Sg+Acc	katinegon
kat+F+Aug+N+Sg+Nom	katinego
kat+F+Dim+Aug+N+Pl+Acc	katinetegojn
kat+F+Dim+Aug+N+Pl+Nom	katinetegoj
kat+F+Dim+Aug+N+Sg+Acc	katinetegon
kat+F+Dim+Aug+N+Sg+Nom	katinetego
kat+F+Dim+N+Pl+Acc	katinetojn
kat+F+Dim+N+Pl+Nom	katinetoj
kat+F+Dim+N+Sg+Acc	katineton
kat+F+Dim+N+Sg+Nom	katineto
kat+F+N+Pl+Acc	katinojn
kat+F+N+Pl+Nom	katinoj
kat+F+N+Sg+Acc	katinon
kat+F+N+Sg+Nom	katino
kat+N+Pl+Acc	katojn
kat+N+Pl+Nom	katoj
kat+N+Sg+Acc	katon
kat+N+Sg+Nom	kato
